name,price,OCrate,neighbor,property_type,bed,bath
 Classic NYC loft apt in brownstone ,$129/night, 81%  ,Harlem ,Apartment,2,1
 Modern 1 bedroom 5min Cental Park ,$173/night, 89%  ,Upper West Side ,Apartment,2,1
 Madison Avenue Studio Suite (2) ,$104/night, 66%  ,Sutton Place ,Apartment,2,1
 Madison Avenue 1 Bedroom Suite ,$110/night, 91%  ,Sutton Place ,Apartment,2,1
 Madison Avenue 3 Room Loft ,$140/night, 57%  ,Midtown ,Apartment,3,1
 Large Brand New Park Slope 1BR ,$130/night, 78%  ,Park Slope ,Apartment,2,1.5
 Soho Old School ,$115/night, 72%  ,NoHo ,Apartment,1,1
 Cozy and Chic UES Studio ,$205/night, 89%  ,Carnegie Hill ,Condominium,1,1
 NICE 2 BED APT NEAR TIME SQUARE ,$152/night, 70%  ,Tudor City ,Apartment,2,1
 Deluxe Loft Suite in Greenpoint ,$189/night, 3%  ,Sunnyside ,Apartment,2,1
 Chic  Park Slope Pied-à-terre ,$196/night, 70%  ,Park Slope ,Apartment,1,1
 Beautiful Loft Suite in Greenpoint ,$149/night, 3%  ,Sunnyside ,Loft,N/A,1
 Studio Loft in Brooklyn ,$139/night, 3%  ,Sunnyside ,Loft,1,1
" Apartment for 5, Midtown Manhattan ",$187/night, 90%  ,Hunters Point ,Apartment,3,1
 Harlem Hearth - Loft Living on a Grand Scale ,$275/night, 57%  ,Manhattanville ,Loft,2,1.5
 Near to Manhattan and large 2BD Apt ,$160/night, 58%  ,Woodside ,Apartment,3,1
 Studio Loft in Greenpoint ,$139/night, 3%  ,Sunnyside ,Loft,N/A,1
 An open and airy charming studio ,$140/night, 65%  ,Park Slope ,Apartment,1,1
 Massive apt in prime Williamsburg ,$220/night, 57%  ,Greenpoint ,Apartment,3,1
" Beautiful, bright and spacious home ",$161/night, 85%  ,Wingate ,Townhouse,2,1
 Spacious 1 bedroom in the heart of Soho ,$283/night, 52%  ,NoHo ,Apartment,1,1
 Welcome to NYC! Modern Luxury 2 BR-5 min from JFK ,$178/night, 41%  ,Jamaica ,House,3,1
 Newly Renovated Carriage House ,$126/night, 39%  ,Bedford Stuyvesant ,House,3,1
 Deluxe Brooklyn Loft ,$189/night, 3%  ,Sunnyside ,Apartment,2,1
 Amazing loft on the Uper East Side ,$235/night, 93%  ,Sutton Place ,Loft,2,1
 Studio Apt at the Heart of Chelsea ,$191/night, 65%  ,NoHo ,Apartment,1,1
 The Red Door ,$216/night, 26%  ,Blissville ,Apartment,3,1
" Modern, Carroll Garden Townhouse ",$346/night, 80%  ,Cobble Hill ,Townhouse,4,1.5
 NYCHaven2: ,$185/night, 86%  ,East Flatbush ,House,7,2
 Elegant and Comfortable Stay ,$189/night, 64%  ,Clinton Hill ,Townhouse,3,1.5
 Giant Loft with a Huge Deck and Kitchen ,$215/night, 92%  ,Manhattanville ,Apartment,2,1
 Authentic studio-UES (30 days MIN) ,$99/night, 100%  ,Carnegie Hill ,Apartment,2,1
" Studio Loft in Greenpoint, Brooklyn ",$135/night, 65%  ,Blissville ,Loft,1,1
" Gramercy Park restful, cozy, sun-filled home ",$233/night, 84%  ,NoHo ,Apartment,2,1
 Cozy Private Garden Apartment ,$114/night, 85%  ,Bushwick ,Apartment,1,1
 NOLITA AMAZING Spacious! ,$197/night, 85%  ,NoHo ,Apartment,4,1
 Turtle Bay/UN Brownstone Garden Apt ,$336/night, 79%  ,Sutton Place ,Apartment,1,1
 NYC Apartment near Central Park! ,$171/night, 68%  ,Carnegie Hill ,Apartment,2,1
 Large Luxury Studio with a view ,$138/night, 52%  ,Harlem ,Apartment,1,1
 Cozy Studio Heart Of Midtown!5160 ,$135/night, 80%  ,Turtle Bay ,Apartment,2,1
 Swimming Pool Doorman Studio! 5161 ,$159/night, 77%  ,Carnegie Hill ,Apartment,2,1
 Design Swimming Pool!LUX***** 5140 ,$179/night, 90%  ,Carnegie Hill ,Apartment,2,1
 Maryhills Brownstone in Park Slope ,$145/night, 73%  ,Park Slope ,Apartment,2,1
 Great Space ,$74/night, 81%  ,Laurelton ,Apartment,2,1
" Sunny Brooklyn, NYC Apartment ",$85/night, 47%  ,East New York ,Apartment,1,1
 Beautiful UES Studio with Backyard for Sublet ,$150/night, 99%  ,Carnegie Hill ,Apartment,1,1
 Beautiful restored full floor apt ,$313/night, 67%  ,Carnegie Hill ,House,4,1
" Large, private 2BR in historic brownstone ",$291/night, 72%  ,Park Slope ,Apartment,4,1
" Central Located Private Apartment, New York Queens ",$63/night, 62%  ,Rego Park ,Apartment,1,1
 Newly renovated house 4 bedroom. Minutes from NYC ,$298/night, 29%  ,Sunnyside ,House,4,1
 15 Mins to Times Square & Manhattan-3 Bedroom Apt. ,$204/night, 66%  ,Maspeth ,House,4,1
 Awesome Dyker Heights apartment! ,$73/night, 96%  ,Fort Hamilton ,Apartment,1,1
 Family Home 2FL 7 Mins To Manhattan ,$236/night, 42%  ,Hunters Point ,House,3,1
 BROOKLYN 2 BEDROOM APT ,$128/night, 25%  ,Glendale ,Apartment,2,1
 Cozy Place - Convenient Location ,$107/night, 39%  ,Bedford Stuyvesant ,House,3,1
 The Mahogany Suite(Private Studio Apartment) ,$100/night, 44%  ,Ocean Hill ,Apartment,2,1.5
 Ideal Brooklyn Location/Spacious+Bright 1-Bed ,$145/night, 83%  ,Park Slope ,Apartment,1,1
 Prime Upper West Side family home top floor ,$267/night, 84%  ,Carnegie Hill ,Guest suite,3,2
"  Private 1 bdrm Lefferts Gr, BK apt ",$125/night, 100%  ,Flatbush ,Apartment,2,1
 Artist's Nook ,$110/night, 94%  ,Carroll Gardens ,Apartment,1,1
 NYC Sweetheart Studio - Upper East ,$100/night, 54%  ,Carnegie Hill ,Apartment,2,1
 Quiet Priv Studio Street Access 5 mins 2 Subway ,$35/night, 77%  ,Pelham Bay ,Apartment,1,1
 Beautiful Executive 1 bedroom Suite ,$180/night, 14%  ,Arverne ,House,1,1
" Entire Spaceous, Sunny, Loft in Clinton Hill ",$150/night, 61%  ,Clinton Hill ,Loft,3,1
 Spacious 2 Bedroom Lower East Side ,$207/night, 87%  ,Chinatown ,Apartment,2,1
 Gem Studio at  Chelsea ,$204/night, 13%  ,Chelsea ,Apartment,2,1
 Charming Brooklyn apartment w/patio ,$138/night, 69%  ,Bushwick ,Apartment,2,1
 Apartment in the heart of Upper East Side ,$144/night, 89%  ,Carnegie Hill ,Apartment,1,1
 Minutes to the Metro!!! ,$154/night, 57%  ,Bedford Stuyvesant ,Apartment,1,1
