neighbourhood_group,neighbourhood,latitude,longitude
Bronx,Allerton,40.86529166666667,-73.85872714285712
Bronx,Baychester,40.87361571428571,-73.84296714285712
Bronx,Belmont,40.85506166666667,-73.88710874999998
Bronx,Bronxdale,40.85473105263158,-73.86628736842106
Bronx,Castle Hill,40.81688888888888,-73.84700000000002
Bronx,City Island,40.84787222222222,-73.78705444444444
Bronx,Claremont Village,40.83918535714285,-73.90927857142857
Bronx,Clason Point,40.811750476190475,-73.85678952380952
Bronx,Co-op City,40.864815,-73.82324
Bronx,Concourse,40.82691880000001,-73.9244694
Bronx,Concourse Village,40.83005375,-73.9178053125
Bronx,East Morrisania,40.831259,-73.888838
Bronx,Eastchester,40.880852307692315,-73.8347223076923
Bronx,Edenwald,40.88803461538463,-73.83608692307692
Bronx,Fieldston,40.891942500000006,-73.90194166666666
Bronx,Fordham,40.863221587301595,-73.89435920634921
Bronx,Highbridge,40.835489629629635,-73.92785185185187
Bronx,Hunts Point,40.81552222222223,-73.88808833333333
Bronx,Kingsbridge,40.87679828571427,-73.90178942857142
Bronx,Longwood,40.821278064516136,-73.90244951612901
Bronx,Melrose,40.821535,-73.915849
Bronx,Morris Heights,40.84913117647059,-73.91630176470586
Bronx,Morris Park,40.852279333333335,-73.85538066666669
Bronx,Morrisania,40.82828111111112,-73.90585611111109
Bronx,Mott Haven,40.810997500000006,-73.91987150000003
Bronx,Mount Eden,40.84206333333333,-73.91650166666666
Bronx,Mount Hope,40.848430500000006,-73.9055175
Bronx,North Riverdale,40.90759900000001,-73.898328
Bronx,Norwood,40.87503580645161,-73.87942096774195
Bronx,Olinville,40.883655,-73.86451
Bronx,Parkchester,40.835649999999994,-73.86387179487178
Bronx,Pelham Bay,40.84935000000001,-73.83207647058825
Bronx,Pelham Gardens,40.863683928571405,-73.84316
Bronx,Port Morris,40.80673391304347,-73.9266202173913
Bronx,Riverdale,40.88735181818181,-73.91206363636364
Bronx,Schuylerville,40.8358576923077,-73.83346999999999
Bronx,Soundview,40.82692066666666,-73.86991266666669
Bronx,Spuyten Duyvil,40.88109,-73.916775
Bronx,Throgs Neck,40.82415625,-73.82177791666666
Bronx,Tremont,40.84367909090909,-73.89131363636366
Bronx,Unionport,40.828294285714286,-73.85246285714284
Bronx,University Heights,40.85805809523809,-73.9101619047619
Bronx,Van Nest,40.84326,-73.86715545454545
Bronx,Wakefield,40.8931784,-73.8535778
Bronx,West Farms,40.84135000000001,-73.878455
Bronx,Westchester Square,40.839690000000004,-73.84698100000001
Bronx,Williamsbridge,40.87893525,-73.85814675000002
Bronx,Woodlawn,40.897420909090904,-73.86793909090909
Brooklyn,Bath Beach,40.60413411764705,-74.00637411764704
Brooklyn,Bay Ridge,40.63142361702128,-74.02623751773051
Brooklyn,Bedford-Stuyvesant,40.687198887991364,-73.9398129267637
Brooklyn,Bensonhurst,40.61218346666666,-73.99400879999997
Brooklyn,Bergen Beach,40.623371,-73.90920600000003
Brooklyn,Boerum Hill,40.686390960451995,-73.98548593220339
Brooklyn,Borough Park,40.63727345588238,-73.99703058823528
Brooklyn,Brighton Beach,40.57841293333333,-73.96129933333333
Brooklyn,Brooklyn Heights,40.694793376623394,-73.99432435064938
Brooklyn,Brownsville,40.66467426229508,-73.91421426229508
Brooklyn,Bushwick,40.696741030426004,-73.92037348478708
Brooklyn,Canarsie,40.63859428571428,-73.90129312925174
Brooklyn,Carroll Gardens,40.680635236051494,-73.99616004291848
Brooklyn,Clinton Hill,40.68811444055944,-73.96440064685319
Brooklyn,Cobble Hill,40.68726727272728,-73.99555353535352
Brooklyn,Columbia St,40.685023095238094,-74.00245738095236
Brooklyn,Coney Island,40.575938823529405,-73.98858176470591
Brooklyn,Crown Heights,40.672698516624024,-73.94632447570321
Brooklyn,Cypress Hills,40.682195259259245,-73.88409666666666
Brooklyn,DUMBO,40.70326583333333,-73.98789888888889
Brooklyn,Downtown Brooklyn,40.69432192771085,-73.9849380722892
Brooklyn,Dyker Heights,40.6240875,-74.01047249999998
Brooklyn,East Flatbush,40.64900038000001,-73.93927633999998
Brooklyn,East New York,40.66821201834864,-73.88419665137613
Brooklyn,Flatbush,40.64495351046703,-73.96051922705317
Brooklyn,Flatlands,40.62554265060239,-73.93257578313255
Brooklyn,Fort Greene,40.69018822085887,-73.97410271983644
Brooklyn,Fort Hamilton,40.61895781818182,-74.03223527272725
Brooklyn,Gowanus,40.676299473684175,-73.98865825910936
Brooklyn,Gravesend,40.595597794117644,-73.97689617647056
Brooklyn,Greenpoint,40.727966914798095,-73.95054533632292
